Paragraph,Clause Classification,Explanation,Clause Type,Clause Meaning,Clause Example
1 Whereas you the PURCHASER have entered into a contract No dated hereinafter referred to as the said Contract with Ms hereinafter referred to as the SELLER for supply of goods as defi ned in the said Contract and whereas the SELLER has undertaken to produce a bank guarantee for  3 of total contract value amounting to  amount of the guarantee in figures and words to secure its obligations to the PURCHASER in acc ordance with the said Contract,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
2 We  the Bank hereby expressly irrevocably and unreservedly undertake and guarantee as principal guarantor on behalf of the SELLER that we will pay you on your demand declaring the SELLER to be in defa ult under the said Contract without demur or contest all and any sum up to a maximum of Rupees  only Your written demand shall be conclusive evidence to us that such repayment is due under the terms of the said Contract,Onerous,"Onerous clause due to the following reason(s): The use of 'irrevocably' binds the bank to the guarantee until its expiry, limiting the bankÃ¢â‚¬â„¢s flexibility to exit or alter the terms. This phrase waives the bankÃ¢â‚¬â„¢s right to object or seek clarification, which is highly unfavorable and risky.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
3 We undertake to  effect payment upon receipt of such written demand notwithstanding any dispute or disputes raised by the SELLER in any suit pending before any Court Tribunal Arbitrator or any other authority our liability under this present being absolute and unequiv ocal,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
4 We shall not be discharged or released from this undertaking and guarantee by any arrangements or variations made between you and the SELLER indulgence to the SELLER by you or by any alterations in the obligation of the SELLER or by any forbear ance whether as to payment time performance or otherwise Contd P age 2,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
5 In no case shall the amount of this guarantee be increased,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
6 This guarantee shall remain in full force and effect until three months beyond the warranty period as specified in the contract ie up to  expiry date or until the PURCHASER has signed the Final Acceptance Certificate FAC and has received the contractually agreed Warranty Bond as per the said Contract  In case of delay in fulfillmen t of obligations by the SELLER the expiry date shall be extended by us as per intimation from the SELLER,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
7 Unless a demand or claim under this guarantee is made to us in writing on or before the aforesaid expiry date or extended expiry date all your rights under this guarantee shall be forfeited and we shall be discharged from the liabilities hereunder,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
8 This guarantee shall be continuing guarantee and shall not be discharged by any change in the constitution of the Bank or in the constitution of the SELLER,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
9 We lastly undertake not to revoke this guarantee during its currency except with the previous consent of the PURCHASER in writing,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
BANK GUARANTEE format for EMDBid Guarantee To be issued with Structured Financial Messaging System Note i This guarantee should be furnished by a Nationalized Bank Scheduled Bank authorized by RBI to issue a Bank Guarantee excepting Bank of China in the same format as given below NUPPL reserves its rights to reject the Bank Guarantee if the same is not in the specified format ii Unless otherwise expressly stated the bid guarantee shall be extended only on behalf of the bidder on whose name the tender documents were purchased iii The bid and other documents shall be submitted only by the bidder on whose of the name the tender documents purchased iv  The bid guarantee shall be executed only as per the format prescribed by NUPPL In the event of any deviation the decision,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
of NUPPL as to whether the same could be accepted or not is final and binding on the bidder v The bank guarantee should be furnished on stamp paper of value not less than Rs 80 vi The stamp paper should have been purchased in the Name of the Bank executing the GuaranteeBidder  vii NUPPL reserves its right to reject the offer of the bidder if any of the above conditions are not adhered to while furnishing the bids,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
9      10 Wish to participate in the said bid for furnishing the following  As an irrevocable Bank Guarantee against Bid Guarantee for a sum of  in words and figures valid for 120 Days from   the date of bid opening is required to be submitted by the Bidder as a condition precedent for participation in the said bid which,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
amount is liable to be forfeited on the happening of any of the contingencies mentioned in the bid documents we the bank at having our Head office at  local address guarantee and undertake to pay immediately on demand by Neyveli Uttar Pradesh Power Limited stating that the bid is revoked during its validity period or the prices are increased unilaterally after the bid opening and during validity of the offer or the bidder have failed or refused to sign the Contract in conformity with their final offer or have failed or refused to furnish Contract performance guarantee in the prescribed form the amount of to the said Neyveli Uttar Pradesh Power Limited without any reservation protest demur and recourse Any such demand by the Neyveli Uttar Pradesh Power Limited shall be conclusive and binding on the bank irrespective of any dispute or difference raised by the bidder,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
This guarantee shall be irrevocable and shall remain valid Upto  If any further extension to this guarantee is required the same shall be extended to such required periods on receiving instruction from Ms   on whose behalf this guarantee is issued,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Renewal/Extension,Covers the process for extending the validity of the guarantee.,"In case of project delays, the validity of the guarantee shall be extended upon request."
This Guarantee is subjected to rules of URDG ICC Publication No 758 Except ARTICLE 34  ARTICLE 35 for that purpose this Guarantee is governed by Indian Laws  having Jurisdiction of Indian Courts,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Governing Law,Specifies the jurisdiction under which the guarantee is governed.,This guarantee shall be governed by the laws of Singapore.
Notwithstanding anything contained herein Our liability under this bank guarantee shall not exceed  in words This bank guarantee shall be valid Upto   and We are liable to pay the guaranteed amount or any part thereof under this bank guarantee only and only if you serve upon us a written claim or demand on or before ,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses. By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Note  The amount shall be as specified in the documents  This date should be 120 Days after the original set date of Tender Opening Following details should be furnished along with BG Details of issuing bank of this guarantee,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
1 Complete Postal address with PIN Code 2 Branch Code 3 IFSC Code 4  SWIFT 5 FAX No 6  Email ID Details of operative branch of this guarantee 1 Complete Postal address with PIN Code 2 Branch Code 3 IFSC,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Draft BANK GUARANTEE FORMATE This  deed of guarantee is executed by the Name of bank  a body Corporate Registered Constituted under the law of    having  the Central office at    and amongst other places a Branch at  herein after referred to as  the Bank  in favour of Administration of Daman  DiuUT Office to The Executive Engineer Electricity Department  Vidyut Bhavan Near 6611 KV Kachigam Sub Station Somnath  Kachigam Road Kachigam Daman 396 210  here inafter called  the Government  for an amount not exceeding    Amount  in words  at the request of   name of the company This guarantee is issued subject to the condition that the liability of the Bank  under this guara ntee is limited to a Maximum o f amount   in words  and the guarantee shall remain in full force up to  Date and cannot be invoked otherwise than by a written demand or claim under this guarantee served on the bank on or before the  date 1 In consideration of Administration o f Daman  Diu UT Office of The Executive Engineer  Electricity Department  Vidhyut Bhavan  Near 6611 KV Kachigam sub station Somnath  Kachigam Road Kachigam Daman  396 210,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Governing Law,Specifies the jurisdiction under which the guarantee is governed.,This guarantee shall be governed by the laws of Singapore.
hereinafter called the Government  having agreed to exempt   name of Company having its  Registered Office at  Address  hereinafter called the said Consumers  from the  demand under the terms and conditions of an agreement No Service Connection NoConsumer ID  if allotted  for Plot No  Factory Address  made between The Executive Engineer Electricity Department D aman  Diu UT and  Name of Company   for supply of Power Contract Demand  hereinafter  called  the Said agreement  of Security Deposit  for the due fulfillment  by the said consumers  of the terms and conditions contained in the agreement on production  of a Bank Guarantee for  amount  We  name address  of bank hereinafter referred to as  the Bank  at the request of  name of company  do hereby undertake to pay to the Government  an amount not exceeding  amount  against any loss or damage caused to or suffered or would be caused to or suffered by the Government by reason of any breach by the said consumes of any of the terms and conditions contained in the said Agreement 2 We name of Bank  do hereby undertake to pay the amount due and payable under this,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
guarantee without any demur merely on a demand from the Government stating that the amount claimed is due by way of loss or damage caused to or would be caused to or suffer ed by the Government  by reason of breach by the said consumerS of any of the terms and conditions contained in the Said Agreement or by reason of the consumers failure to perform the said Agreement Any such demand made on the Bank shall be conclusive  as regards the amount due and payable by the Bank under this guarantee shall be restricted to amount not exceeding  Amount 3 We undertake to pay to the Government any money so demanded notwithstanding any dispute or disputes raised by the consumer  in any suit or proceeding pending  before any court of tribunal relating thereto our liability under this present  being absolute and unequivocal The payment so made by us under  this Bond shall be a valid discharge of our liability for payment there under and consumerssuppliers shall  have not claim against us for making such payment 4 We   further agree that the guarantee contained shall remain in full force and effect during the period that would,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
be taken for the performance of the said Agreement and that it shall continue to be enforceable till all the dues of the Government under or by vi rtue of the said Agreement have been fully paid and its claims satisfied  or  discharged or till The Executive Engineer Electricity Department Daman  Diu  UT   certified that the terms and conditions of the said agreement have been fully and properl y carried out by the said consumers and accordingly discharges this guarantee Unless a demand of claim under this  guarantee is made on us in writing on or before the  Date  we shall be discharged  from all liability under this guarantee thereafter 5 we  further agree with the Government that the Government shall have the fullest liberty without our consent and without effecting in any manner our obligations hereunder to vary any of the terms and conditions of said Agreement or to extend  time  of p erformance by the said consumers  from time to or to postpone for any time of from time to time any of the power exercisable by the Government against the said consumers and to forbear of enforce any of the terms and,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
agreement and we shall not be relieved form our liability by reason of any such variation or extension being granted to  the said consumers or for any forbearance act or omission on the part of the Government of any indulgence by the Government to the said  consumers or by and such  matter of thing whatsoever which under the law relating to sureties would but for this provision have effect of so relieving us 6 This guarantee will not be discharged due to the change in the constitution of the Bank of th e consumers 7 we  lastly undertake not to revoke this guarantee during the currency except with the previous  consent of the  Government in writing 8 This guarantee shall be valid  up to  date  unless extended on demand by Government Notwithstand ing anything mentioned above our liab ility against this guarantee is restricted to Amount any unless a claim in writing is lodged with us on or before the date of expiry ie Date,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
or the extended date of expiry of this guarantee all our liabilities un der this guarantee shall stand discharged Notwithstanding anything contained herein i      Our liability under this Bank Guarantee shall not exceed  Amount ii     This Bank Guarantee shall be valid up to date  and iii   We are liable to pay th e guarantee amount or any part thereof under this Bank Guarantee only and if you serve upon us a written claim or demand n or before  Date  date of expiry of the guarantee at Name Of bank Address,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses. By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
Management System Document  Appendix Doc no SC00015W02A01EN   Rev 00 Page 1 of 4 Internal  2023 Aker Solutions No part of this document or the information it contains may be reproduced or transmitted in any form or by any means without the permission of Aker Solutions This document is no longer controlled once downloaded  Title Standard Bank Guarantee Doc No SC00015W02A01EN,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Validity       Global This field shall be read in conjunction with metadata for applicability to SegmentFunction Execution models and locations Purpose Mandatory standard Bank Guarantee format for suppliers  subcontractors to Aker Solutions,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Guarantor   having offices at  registered under the number  Principal  having offices at  registered under the number  Beneficiary  having offices at  registered under the number  Effective Date of this Guarantee  Purchase OrderContract No to which this Guarantee relates  dated  Aggregate Maximum Guaranteed Amount Expiry Date of this Guarantee This Guarantee shall expire on  or issuance by the Beneficiary of an acceptance certificate in accordance with the Purchase Order CONTRACT if any whichever is the earlier Statement Simple signed written statement from Beneficiary stating that the Principal has breached its obligations,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
1 On behalf of the Principal we the undersigned hereby irrevocably and unconditionally undertake to pay to the Beneficiary any amount up to the Aggregate Maximum Guaranteed Amount upon his first demand in writing waiving all rights of objections and defense arising from the Principal provided that such claim including the above mentioned Statement is received by us not later than on the Expiry Date of this Guarantee,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying. The use of 'irrevocably' binds the bank to the guarantee until its expiry, limiting the bankÃ¢â‚¬â„¢s flexibility to exit or alter the terms.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
2 The obligations of the Guarantor under this Guarantee are primary and not by way of surety The Guarantor shall not be entitled as against the Beneficiary to make any withholding or deduction on account of any setoff or counterclaim whatsoever and howsoever arising,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
3 This Guarantee takes effect on the Effective Date and will expire on the Expiry Date set forth above,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
4 All payments to be made under this Guarantee must be made in immediately available funds to the bank account specified in the relevant demand within 5 five business days after the date of receipt by the Guarantor of the Beneficiarys Statement,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
5 All sums payable under this Guarantee must be paid in full without deduction or withholding for or on account of any present or future taxes duties andor other charges,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
6 This Guarantee is assignable by the Beneficiary with the prior written consent from Guarantor to any assignee of the Purchase Order CONTRACT The Guarantor will not be entitled to assign its rights title and interest in and to the Guarantee without the prior written consent of the Beneficiary,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Management System Document  Appendix Doc no SC00015W02A01EN   Rev 00 Page 3 of 4 Internal  2023 Aker Solutions No part of this document or the information it contains may be reproduced or transmitted in any form or by any means without the permission of Aker Solutions This document is no longer controlled once downloaded  7 If at any time one or more of the provisions of this Guarantee is or becomes illegal invalid or otherwise unenforceable in any respect such provision or provisions will be ineffective to the extent only of such illegality invalidity or unenforceability and such illegality invalidity or unenforceability will not invalidate any other provision of this Guarantee,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
8 The Guarantee shall be governed by and construed in accordance with the laws of Norway Any disputes arising in connection with this Guarantee shall be brought before Oslo District Court,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Governing Law,Specifies the jurisdiction under which the guarantee is governed.,This guarantee shall be governed by the laws of Singapore.
Management System Document  Appendix Doc no SC00015W02A01EN   Rev 00 Page 4 of 4 Internal  2023 Aker Solutions No part of this document or the information it contains may be reproduced or transmitted in any form or by any means without the permission of Aker Solutions This document is no longer controlled once downloaded  Definitions and Abbreviations TermsAbbreviation  Definitions Bank Guarantee A Financial Security Bond provided by a Bank or Insurance Company as Guarantor on behalf of the subcontractor or supplier as the Principal Parent Company Guarantee A Performance and Financial Security Bond for subcontractorsuppliers complete performance of his obligations under a contract issued by the subcontractorsuppliers,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
ultimate owner as Guarantor Parent Company Guarantees shall be provided on headed paper On Demand Bond A Bond which Beneficiary may call on by making a demand on the Guarantor without any proof of default by the Principal Conditional Bond A conditional Performance Bond does not become payable unless the Guarantor has verified that the Principal is in breach of its contractual obligations and that because of that breach the Beneficiary has suffered a loss or damages,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
Sample Bank Guarantee Name  Address o f the Bank Director General of Civil Aviation Civil Aviation Authority of Sri  Lanka No1521 Opposite Radar H ill Minuwangoda Road Katunayake Sri Lanka,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
At the request of   Name of Agency  Business Registration No   of   Address  for the purpose of fulfilling the requirements of licensing as specified by the Director General of Civil Aviation in terms of his Directive CAASL AT0120 15 dated 2nd October 2015  made in terms of the Civil Aviation Act No 14 of 2010  We the Bank  Name of the Bank  having  our registered office at   Registered Address of Bank  do hereby agree to pay MS Civil Aviation Authority of Sri Lanka  on first written demand at   Address  of Bank Branch  a sum of  money not exceeding    Amount  in Words  and Numbers  This guarantee will remain in force from to  Both  days inclusive  Our liability under this guarantee shall not exceed the sum of Rs A dem and under the hands of the Director General of Civil Aviation appointed under the Civil Aviation Authority Act No 34 of 2002  shall be conclusive evidence that we are liable to pay the sum demanded but not exceeding the am ount aforesaid and accordingly We the bank,Onerous,"Onerous clause due to the following reason(s): By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
The guarantee shall be governed by and construed in all respects in accordance with the laws of Sri Lanka,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Governing Law,Specifies the jurisdiction under which the guarantee is governed.,This guarantee shall be governed by the laws of Singapore.
Guarantee No  date Amount of Guarantee Rs Guarantee cover from dated To dated  Last Date for Lodgment of claim ,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
THIS DEED OF GUARANTEE made this day  of July 2022 between  the Bank hereinafter called the Bank of the one part and   Purchasing entity of the other part,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
In view of the aforesaid applications are disposed of with a direction that CERC would refund the amounts on a bank guarantee being furnished securing the amount to be refunded to the applicants,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
That refund should be made within two weeks of the app ropriate bank guarantee being furnished,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
7 AND WHEREAS  the principal amount of Rs  total amount to be mentioned deposited with CERC in respect of RECs  purchased  in terms of the aforesaid orders of the Honble Supreme Court is to be refunded to   name of purchasing entity  against furnishing of Bank Guarantee of the same value to CERC in terms of t he aforesaid orders of the Honble Supreme Court,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
8 AND WHEREAS in consideration of the orders of the Honble Supreme Court of India  in the Civil Appeals as aforesaid and at the request of name of purchasing entity We Name of the Bank  hereinafter referred as the Bank having its registered office at  full address with pin code  do hereby unconditionally undertake to pay the amount payable under this guarantee without any demur merely on a demand from the CERC stating that the amount claimed is in terms of the direction decision of the Honble Supreme Court of India in the aforesaid civil appeals  mention Civil Appeals Nos  batch  Any such demand in writing made on the Bank by CERC shall be conclusive as regards the amount due and payable by the Bank under the guarantee   However our liability under this guarantee shall be restricted to an amount not exceeding Rs   secured  by this guarantee ,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
9 We the Bank further agree that the guarantee herein contained shall remain in full force and in effect during the pendency of the aforesaid Civil Appeals mention the appeals before the Honble Supreme Court andor till the CERC certifies the discharge  of this  guarantee  in full   Unless demand for claim under this guarantee is made on us in writing on or before   mention claim period  plus 180 days  we shall be discharged from all liabilities under this guarantee thereafter,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Claim Period,Specifies the timeframe during which claims can be made under the guarantee.,Claims under this guarantee must be submitted within six months from the expiry date.
10 We the Bank lastly undertake not to revoke this guarantee during its currency except with the previous consent of the CERC  in writing,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
11 We the Bank also agree that this guarantee will not be discharged due to change in the constitution of the Bank or  name of the  purchasing entity,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
i Our liability under this Bank Guarantee shall not exceed Rs Rupees only,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
ii This Bank Guarantee shall be valid up to   initial period of 2 years and shall at the request of the name of purchasing entity be extended from time to time and kept valid till the final disposal of Civil Appeal No 4801 of 2018  batch ma tters pending before Honble Supreme Court of India Further a claim period of 180 days after validity period claim period is available to you to make a demand under the Bank Guarantee in respect of a cause of action which has arisen during the validit y period only,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Claim Period,Specifies the timeframe during which claims can be made under the guarantee.,Claims under this guarantee must be submitted within six months from the expiry date.
iii We are liable to pay the guaranteed amount or any part thereof  under this Bank Guarantee only and only if you serve upon us a  written claim or demand on or before  mention  period of the guarantee as found under clause ii above plu s claim period,Onerous,"Onerous clause due to the following reason(s): By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Claim Period,Specifies the timeframe during which claims can be made under the guarantee.,Claims under this guarantee must be submitted within six months from the expiry date.
In consideration of the Purchaser s NameHereinafter referred to as the Purchaser which expression  shall unless repugnant to the c ontext or meaning thereof include its successors administrators and assigns having awarded to MsContractors Namewith its Registe redHead Office atHereinafter referred to as the Contractor Which expression shall unless repugnant to the context or meaning thereof include its successors administrators executors and assigns  a Contract by issue of Purchasers Purchase O rder Nodatedand the same having been acknowledged by the contractor forContract sum in figures and words forName of the work and the Contractor having  agreed to provide a Contract Performance Guarantee for the faithful performance of the entire Contract equivalent to 10 of the said basic value of the aforesaid work under the Purchase Order,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
