Paragraph,Clause Type,Clause Meaning,Clause Example
2 This certificate is submitted in reference to the Public Procurement Preference to Make in India Order 2017  including revision thereto,Reference Clause,,"A reference clause in the context of bank guarantees specifies a particular rule, regulation, legal document, or previous agreement that informs or governs the conditions of the guarantee. This helps in clarifying the parameters or requirements that the guarantee is intended to adhere to."
Signature of Statutory AuditorCost Auditor Registration Number Seal  Counter signed   Bidder     OEM   Certified copy of board resolution for appointment of statutorycost auditor should also be enclosed with the certificate of local content,Documentary Compliance,,"Documentary Compliance clauses in bank guarantees specify the necessary documents that must be provided either for establishing the validity of the claim or confirming adherence to stipulated criteria within the contract. Such clauses ensure that all regulatory, legal, and procedural standards are met before any transaction is finalized or acknowledged."
This is to certify that proposed   details of services  is having the local content of   as defined in the above mentioned RFP,Certification,,"A Certification clause in a bank guarantee or contract certifies certain facts or conditions stipulated in the agreement. It is often used to verify that specific requirements, such as standards, regulatory compliances, or product specifications, are met. This clause ensures that the parties involved acknowledge and agree with these elements as being accurate and in accordance with the terms set out."
1 The details of locations at which the local value addition is made are as under  Sl No  Product details  Name of place 1 2  3 This certificate is submitted in reference to the Public Procurement Preference to Make in India Order 2017  including revision thereto,Reference Clause,,"A reference clause in the context of legal documents, including bank guarantees, points to specific documents, standards, or external sources that provide additional context or stipulations that are pertinent to the main document. It helps in ensuring the terms within the contract are understood in conjunction with referenced standards or regulations."
BANK GUARANTEE FORMAT FOR SECURITY DEPOSIT On Rs 50  Non judicial Stamp Paper Date of Issue  Effective Date    Expiry Date  Value of BG  1 The Chairma n  cum  Managing Director Coal India Limited 10 Netaji Subhash Road Kolkata  700 001  2 The Chairman cumManaging Director Mahanadi Coalfields Limited AtPoJagriti Vihar Burla  768020 Sambalpur Orissa,Expiry,,"The ""Expiry"" clause in a bank guarantee specifies the date on which the guarantee will no longer be valid. This clause is crucial for defining the duration of the guarantee's validity and the window within which the beneficiary can make a claim or demand under the terms of the guarantee."
3  The General Manager SM Mahan adi Coalfields Limited AtPoJagriti Vihar Burla  768020 Sambalpur Orissa,Address Clause,,"An address clause in a bank guarantee specifies the contact details or the physical location where official communications related to the guarantee should be sent. This can include the addresses for the beneficiary, the applicant, or the guarantor (bank). It is crucial for ensuring that all notifications, demands, or other communications reach the correct party promptly and efficiently."
In consideration of Coal India Limited of 10 Netaji Subhash Road Kolkata  700 001 name of the subsidiary Company having its Registered Office at   regd address of the subsidiary Company and Sales Office at  address of the sales office of the subsidiary Company hereinafter referred to as  Seller  which expression shall unless excluded by or repugnant to t he subject or context include its legal representatives successors and permitted assigns having agreed to supply CoalImported Coal to Name of the Company Partnership firm Proprietor having its registered office at  address of the Company Partnership firm Proprietor hereinafter referred to as the  Purchaser  which term shall unless excluded or repugnant to the subject or context include its legal representatives successors and permitted assigns in  case of Company and the Purchaser being required to furnish the Security Deposit as per the terms of the Fuel,Recital,,"Recitals in a contract or a bank guarantee provide background information or context regarding the agreement and the parties involved. They usually explain the reasons for entering into the agreement, relationships between the parties, and key motivations for the contract. Recitals are not intended to be enforceable themselves but serve to set the stage for the operative provisions of the contract, helping with interpretation if any disputes arise."
Supply Agreement FSA  We  Name and address of the Bank having its Head Office at  Address of the  Head Office of the Bank hereinafter called the Guarantor which expression shall unless repugnant to the context or meaning thereof include its successors administrators executors and assigns do hereby irrevocably and unconditionally guarantee and undertake to pay Seller or such other place or places as may be directed by the Seller all amounts payable by the Purchaser to the extent of Rs   Indian Rupees  at any time upto date  that is sixty four 64 months from the date of issue of the Bank Guarantee subject to the following terms and conditions,Expiry,,"The ""Expiry"" clause in a bank guarantee defines the validity period of the guarantee. It sets a specific date or condition upon which the guarantee will cease to have effect. This limit ensures that the liability of the guarantor is capped in time, providing clarity and certainty to both the guarantor (the bank) and the beneficiary (the party in whose favor the guarantee is issued)."
1 The Guarantor shall pay to the Seller on demand and without any demur reservation contest recourse or protest and or wi thout any reference to the Purchaser As to whether the occasion or ground has arisen for such demand the decision of the Seller shall be final,Demand Clause,,"A demand clause in a bank guarantee stipulates that the guarantor must pay the beneficiary upon demand, without objection, delay, or need to consult any third parties (including the purchaser). This type of clause ensures that the beneficiary can quickly access the funds guaranteed under the contract without the need to prove grounds or get into disputes on the validity of the demand. It generally underscores the irrevocable and unconditional nature of the guarantee."
2 The Seller shall have the fullest liberty without reference to the Guarantor and without affecting this g uarantee to postpone at any time or from time to time the exercise of all or any of its powers and rights under arrangement made with the Purchaser and the Guarantor shall not be released from this guarantee by any arrangement between the Seller and the P urchaser or any alteration thereof  made with or without the consent  of the Guarantor or by exercise or non exercise by the Seller of all or any of its powers and rights against the Purchaser or any other forbearance act of omission on the part of the Seller or  indulgence granted by or on behalf of the Seller to the Purchaser which under the law relating to surety ship would but for this provision have the effect of releasing the Bank as Guarantor from their obligations under this guarantee,Non-Waiver,,"A Non-Waiver clause in a bank guarantee specifies that the obligations and responsibilities of the guarantor remain intact regardless of any changes in agreements between the principal parties, or any actions or inactions by the seller that might otherwise lead to a waiver of these obligations under normal legal circumstances. It essentially ensures that the guarantor cannot claim release from liability due to any changes in the relationship between the seller and the purchaser or due to any indulgences granted by the seller."
3 The g uarantee herein contained shall not be determined or affected by the winding up or insolvency of the Purchaser but shall in all respects and for all purpose be binding and operative until all monies due to the Seller in respect of all liability or liabili ties of the Purchaser are fully paid,Continuation Clause,,"A continuation clause in a bank guarantee specifies that the guarantee will remain valid and enforceable regardless of certain changes in the status of the parties involved, such as insolvency or restructuring. This type of clause ensures that the obligations covered by the guarantee are met even if the party in whose favor the guarantee is issued (the beneficiary) experiences financial difficulties."
4 It is also agreed that Seller will be entitled at its option to enforce this guarantee against the Guarantor as principal debtor in the instance notwithstanding any other security or guarantee that the Seller may h ave in relation to the Purchasers liability,Enforceability,,"The enforceability clause in a bank guarantee specifies the conditions under which the guarantee can be invoked directly against the guarantor. It establishes the guarantor as a principal debtor in circumstances specified within the guarantee, effectively allowing the beneficiary to bypass other forms of security or collateral that might exist and directly claim from the guarantor."
5 The Guarantee will remain valid for a period of sixty four 64 months from the date hereof and to such further period as may be required and agreed by the Parties and agreed by the Guarantor before the expiry of the aforesaid validity,Expiry,,"The expiry clause in a bank guarantee defines the period during which the guarantee will be effective. This includes detailing when the guarantee starts and when it will end or expire, unless it is extended under specific agreed conditions."
6 The Guarantee shall cover all claims or demand of Seller to the extent of the amount guaranteed,Coverage,,"The Coverage clause in a bank guarantee defines the scope, extent, or limit up to which the guarantor (the bank) agrees to fulfill the obligations of the debtor (the client of the bank) in favor of the beneficiary (e.g., a seller or contractor). It specifies what types of obligations or claims are covered by the guarantee, such as monetary claims, performance claims, etc., and up to what amount the guarantor is liable."
7 Notwithstanding anything contained the liability of the Guarantor under this Agreement is restricted to Rs    Indian Rupees  and the same will remain in force upto and including the day of date that is sixtyfour 64 months from the issue of the Bank Guarantee and to such further period as may be required and agr eed by the Parties and  agreed by the Guarantor before the expiry of the aforesaid validity,Expiry,,"An expiry clause in a bank guarantee specifies the date or event upon which the guarantee will cease to be effective. This clause is critical as it defines the temporal scope within which the guarantor is liable to fulfill the obligations under the guarantee. It might also mention provisions for extending the period, under mutual agreement of the involved parties."
8 This guarantee can be enforced by Seller any number of times for their claims or demand to the total extent of Rs   Indian Rupees   as long as it remains in force,Utilization,,The Utilization clause in a bank guarantee defines the conditions under which the beneficiary can draw down or make claims against the guarantee. It outlines the frequency and extent to which the beneficiary can make claims until the total guaranteed amount is exhausted or the guarantee expires.
9 Unless a demand or claim under this guarantee is received by the Guarantor within the period mentioned in clause 5 and 7 hereof all rights of the Seller shall be forfeited and the Guarantor shall be relived  or discharged from all liabilities,Claim Period,,"A Claim Period clause in a bank guarantee specifies the timeframe within which a demand or claim must be made under the guarantee. If the claim is not made within this specified period, the rights under the guarantee can be forfeited, and the guarantor is discharged from any liabilities relating to the guarantee after this period expires."
10 The guarantee is operative at our   name and address of the branch Branch Sambalpur  Place,Operative Clause,,The Operative Clause in a bank guarantee defines the specific conditions under which the guarantee becomes effective or operative. This typically specifies where and how the guarantee will be executed and any specific activation provisions or conditions that need to be met for the bank guarantee to come into effect.
LD 2 109              To be stamped as an agreement Not to be attested AGREEMENT  OF GUARANTEE,Agreement Identification,,"This type establishes the nature and formal identification of the document as an agreement of guarantee, specifying how it should be treated legally in terms of formalities such as stamping and attestation."
This forms part of the Agreement of Guarantee  executed by Insert the name of the Guarantors   in favour of The South Indian Bank Ltd  dated ,Reference/Identification Clause,,"A Reference or Identification Clause in a bank guarantee or any legal document serves to precisely identify the agreement in question by mentioning relevant parties, specific details or dates. This helps in establishing context and linking the document to pertinent legal agreements or relationships."
LD 2 109   THIS AGREEMENT  OF GUARANTEE  is made at the place and date as specified in Schedule I a by the persons whose names and addresses are as specified in Schedule I b hereinafter referred to as the  Guaranto rs which expression shall unless repugnant to the context or meaning thereof include its successors and assigns and all persons de riving claiming title there under  IN FAVOUR OF The South Indian Bank Ltd a banking company incorporated under the Companies Act 1913  and having its Registered Office at SIB House TB Road Mission Quarters Thrissur and one of its Branch Offices at the place specified in Schedule I c hereinafter referred to as the  Bank  which expression shall unless repugnant to the context or meaning thereof include its successors and assigns  WHEREAS at the request of the persons whose names and addresses  are as specified in Schedule I d  hereinafter referred to as the  Borrower s,Introduction/Recital,,"The Introduction or Recital clause in a bank guarantee sets the scene for the agreement. It identifies the parties involved, their addresses or principal places of business, and other introductory details that define the structure and execution context of the guarantee. It often includes why the guarantee is being issued, addressing its purpose. It also delineates the relationship and commitment between the parties, mentioning successors and assigns, thereby identifying the binding nature upon current and future entities."
which expression shall unless repugnant to the context or meaning thereof shall be deemed to include hishertheir heirs legal representatives executors administrators s uccessors and assigns and also on myour request the Bank has allowedagreed to allowcontinueenhance credit facilities aggregating the sum of more fully described under Schedule II  a of this agreement  subject to such terms and conditions stipulated in the sanction letter credit facility agreement demand promissory note if any andor other loansecurity documents and the Borrower has executed the required documents as stated in Schedule II b of this Agreement,Definition or Interpretation Clause,,This type of clause specifies how certain terms or phrases should be interpreted within the context of the contract. They ensure that specific words or phrases throughout the contract are understood in a certain way according to the definitions or interpretations given. These clauses often clarify the scope of key terms used in the agreement to prevent ambiguity and ensure consistent understanding between all parties involved.
IN CONSIDERATION of the Bank allowi ngcontinuingenhancing credit facilities both fund based and non fund based as mentioned in Schedule II a of this agreement  in the account of the Borrower the guarantors hereby jointly and severally agree with and unconditionally absolutely and i rrevocably guarantee to the Bank the due payment and discharge on demand of all amounts due and payable to the Bank by the Borrower at any time and also of all bills promissory notes or guarantees held by the Bank in respect of the credit facilities toget her with interest commission banking and other charges costs expenses etc provided nevertheless that the liability of Guarantors under this guarantee shall not exceed in the whole the sum of the amount more fully mentioned in Schedule III of this Ag reement apart from and in addition to all interest commission banking law  and other charges costs expenses etc above referred to,Guarantee Clause,,"A guarantee clause in the context of bank guarantees refers to a section in a financial or lending agreement where a guarantor (either an individual or another entity) agrees to fulfill the obligation of the primary party (borrower) in the event that this primary party fails to meet its financial obligations. This clause essentially serves as a form of financial assurance to the lender that the debt or obligation will be taken care of, thus minimizing the risk of the loan."
The guarantors further agree with the bank as follows  1 This guarantee shall be a continuing security for all amounts advanced by the Bank to the Borrower in respect of or under the aforesaid credit facilities as also for all interest costs and other monies which may from time to time become due and remain unp aid to the Bank thereunder and shall not be determined or in any way be affected by any account or accounts opened or to be opened by the Bank becoming nil or coming into credit at any time or from time to time or by reason of the said account or accounts being closed and fresh account or accounts being opened in respect of fresh facilities being granted within the overall limit sanctioned to the Borrower This guarantee shall be binding on the guarantors and heirs legal representatives executors admin istrators successors assignees etc  The guarantors shall not be released from liability in respect of the credit facilities covered by this guarantee in the event of any omission delay or default in presentation of bill or in issue of notice of,Continuing Guarantee,,"A ""Continuing Guarantee"" refers to a type of guarantee where the guarantor agrees to be responsible for the ongoing obligations of the borrower, typically until the guarantee is explicitly revoked according to the terms specified within it. This kind of guarantee ensures the guarantor's liability covers not just a specific transaction or debt but extends to a series of transactions and future borrowings, often within agreed limits. The guarantor’s liability continues despite any changes (like closure and reopening of accounts) in the state of the borrowed amounts."
disho nour on the part of the Bank This guarantee shall continue in force,Duration/Continuity,"This type of clause specifies the period during which the bank guarantee will remain effective, detailing how long the guarantor (bank) remains liable under the terms of the guarantee. It usually sets out the conditions under which the guarantee will continue to be valid or when it will lapse.","""This Guarantee shall remain in force until DD MM YYYY, and any claim under this Guarantee must be received by the Guarantor no later than thirty (30) days from this date unless extended or terminated earlier in accordance with the terms herein."""
LD 2 109  notwithstanding the discharge of the Borrower by operation of law or death of guarantors and shall cease only on payment of the amount guaranteed hereunder by the guarantors,Continuing Guarantee,,"A Continuing Guarantee clause relates to an assurance that extends to a series of transactions, and remains effective until it is explicitly terminated. This type of guarantee survives common terminations of obligations, such as the discharge of the primary obligor, death of a guarantor, or similar events that would typically nullify other types of guarantees."
2 In th e event of any default on the part of Borrower in paymentrepayment of any of the moneys referred to above or in the event of any default on the part of the Borrower to comply with or perform any of the terms conditions and covenants contained in the Loa n AgreementsDocuments the Guarantors shall upon demand forthwith pay to the Bank without demur all of the amounts payable by the Borrower under the Loan AgreementsDocuments,Demand Clause,,"A demand clause in a bank guarantee specifies the conditions under which the guarantor must fulfill the guarantee commitments immediately upon the beneficiary's (lender’s) request. This clause is fundamental to bank guarantees as it outlines under what circumstances the guarantor is obliged to make a payment, and it emphasizes the unconditional nature of the bank guarantee, typically requiring payment ""on demand"" without dispute or delay."
3 The Guarantors shall also indemnify and keep the Bank indemnified against all losses damages costs claims and expenses whatsoever which the Bank may suffer pay or incur of or in connection with any such default on the part of the Borrower including legal proceedings taken against the Borrower andor the Guarantors for recovery of the monies referred above,Indemnity,,"An indemnity clause in a bank guarantee is designed to protect the bank from any losses, damages, or costs incurred due to the borrower's default or failure to meet the obligations under the agreement. It requires the guarantor to compensate the bank for such losses, which may include legal costs associated with enforcing the guarantee or recovering the owed amounts."
4 This Guarantee is additional and without prejudice to any securities or obligations which the Bank may now or hereafter have in respect of any indebtedness or liabilities hereby guaranteed and all rights and re medies in respect thereof are reserved,Subordination and Reservation of Rights,,This type of clause specifies that the guarantee provided by the bank is supplementary to any other securities or guarantees already held or may be held in the future in connection with the underlying obligations. It also retains all the rights and remedies the bank may have with respect to those obligations and securities. This ensures the bank does not waive any rights against the principal debtor or against other forms of collateral merely by issuing this guarantee.
5 The Guarantors hereby agree that without the concurrence of the Guarantors the Borrower and the Bank shall be at liberty to vary alter or modify the terms and conditions of the Loan AgreementDocuments and of the security documents executed by the Borrower in favour of the Bank and in particular to defer postpone or revise the repayment of the Loans andor payment of interest and other monies payable by the borrower to the Bank on such terms and conditions as may be considered necessary by the Bank including any increase in the rate of interest  The Guarantors agree that the liability under the Guarantee shall in no manner be effected by such variations alterations modifications waiver and that no fur ther consent of the Guarantors is required for giving effect to any such variation alteration modification or waiver  The Guarantors expressly agrees that the Bank shall have full discretionary power without further assent or knowledge of guarant ors and without discharging or in any way affecting the liability of guarantors  under this guarantee from time to time AND at any,Variation / Amendment Clause,,"A Variation or Amendment Clause in the context of a bank guarantee specifies that the terms and conditions of the underlying contract (such as a loan agreement) may be altered, modified, or waived without needing the consent of the guarantors. This clause ensures that the guarantor's obligations remain binding despite any changes to the agreement between the principal debtor and the creditor."
time to negotiate with the Borrower and settle andor alter the terms and conditions to promise to grant time or indulg ence to or not to sue the Borrower or any persons liable with or for Borrower whether as guarantor or otherwise or make any other arrangement with the Borrower or any persons so liable with or for the Borrower as the Bank may deem fit and to hold over  renew vary exchange or release in whole or in part and from time to time any securities held or to be held by the Bank for or on account of the moneys and liabilities intended to be hereby secured or any part thereof  The Guarantors also agree that the Guarantors shall not be discharged from liability by the Bank releasing the Borrower or by any of its act or omission the legal consequences of which may be to discharge the Borrower or which would but for this present provision be inconsistent wit h Guarantors rights as surety or by the Banks omitting to do any act which but for this present provision its duty to Guarantors would have required the Bank to do so  The Guarantors hereby consent to each and every of,Suretyship and Waiver of Defenses,,"This clause type typically appears in contracts involving sureties (like a guarantor), where the surety agrees to maintain their obligations despite any alterations in the terms of the main contract, release of securities, or other actions by the creditor that might otherwise release a surety from liability. It ensures that the guarantor remains liable and waives their right to defenses that would normally arise due to changes affecting their obligations or the primary debtor's situation."
the acts mentioned above as the Bank may think fit  Moreover though as between the Borrower and the Guarantors  the Guarantors are sureties only the Guarantors agree that as between the Bank and the Guarantors the Guarantors isare Principal Debtors jointly with the Borrower and accordingly the,**Nature of Guarantee**,,"This type of clause specifies the legal relationship and liabilities of the involved parties in a guarantee agreement. It clarifies whether the guarantors are acting as sureties or principal debtors, which impacts their responsibility for the debt."
LD 2 109  Guarantors shall not be entitled to any of the rights conferred on sureties by Sections 133 134 135 139 and 141 of the Indian Contract Act  And the Guarantors further expressly agree that the Bank shall also have discre tionary power without further assent or knowledge of Guarantors or without discharging or in any way affecting the liability of Guarantors under the Guarantee from time to time and at any time to agree to the variations of the terms and conditions of a ll or any of the terms and conditions of credit facilities grantedto be granted to the Borrower   The Guarantors hereby agree and give consent to the sale mortgage on prior pari passu or second charge basis release etc of any of the assets by the Borrower from time to time as may be approved by the Bank or the transfer of any of the assets of the Borrower from one unit to other or to the release or lease out by the Bank any or whole of the assets charged to the Bank on,Waiver of Suretyship Rights,,"This clause specifies that the guarantors waive certain rights that are normally afforded to sureties under the law. In the context of the clause, the rights waived are specified under certain sections of a legislation (in this case, the Indian Contract Act). The waiver typically includes protections that would otherwise limit or alter a surety's liability if the principal debt or obligation is modified without the surety’s consent. This type of clause ensures that the guarantor's obligations remain intact and enforceable despite any changes to the principal obligation or the financial circumstances surrounding it."
such terms and conditions as t he Lenders may deem fit and this may be treated as standing and continuing consent for each and every individual act of transfer mortgage release or lease of any of such assets by the Borrower,Consent Clause,,"A Consent Clause in a bank guarantee or similar financial agreement specifies the conditions under which one party (typically the borrower) must obtain the approval or consent from another party (usually the lender or guarantor) before taking certain actions regarding assets, operations, or other significant decisions. This type of clause helps lenders manage risk by allowing them to assess and approve actions that could impact the collateral or financial position relevant to the guarantee."
The Guarantors hereby declares and agrees that no separat e consent for each such transfer mortgage release or lease of any of such assets would become necessary in future,Waiver of Consent,,The Waiver of Consent clause in a bank guarantee context typically specifies that the guarantor waives the right to give separate consent each time the guaranteed party or another specified party undertakes certain actions related to the guarantee. This ensures smoother and unimpeded execution of the guaranteed party's rights or handling of the underlying assets or covenants related to the guarantee without the need for additional permissions or consents from the guarantor each time.
6 The Guarantors also agree that any admission or acknowledgement in writing by the Borrower of the amount of indebtedness of the Borrow er or otherwise in relation of the subject matter of this guarantee shall be binding on the guarantors and the guarantors accept the correctness of any statement of account served on the Borrower by the Bank and the same shall be binding and conclusiv e as against the guarantors also and the guarantors agree that in making an acknowledgement or making a payment the Borrower shall be treated as duly authorized agent of Guarantors for the purposes of Section 18 and 19 of Indian Limitation Act 1963,Acknowledgement and Admissions,,"This type of clause specifies that any admission of debt or acknowledgment concerning the obligations under the guarantee by the borrower is binding on the guarantors. It ensures that guarantors cannot dispute the validity or amount of the debt acknowledged by the borrower, facilitating smoother enforcement of the guarantee for the benefitting party (creditor or bank). This clause also typically extends the interpretation of actions taken by the borrower as representative of actions permissible by the guarantors, often in the context of statutory provisions that affect the running of limitation periods."
7 The Bank may recover against the guarantors to the extent herein before mentioned notwithstanding that the Borrower or his agents partners directors or officers may have exceeded his or their powers or that the arrangements with the Bank may have b een ultra vires and without being bound to enforce its claim against the Borrower or any other persons or other security held by the Bank  The Bank shall not be bound to enquire into the powers of the Borrower or his agents or partners directors or off icers purporting to act on behalf of the Borrower and all moneys due or liabilities incurred shall be deemed to form part of the present guarantee notwithstanding that the Borrower or his agents partners directors and officers may have exceeded hisher o r their powers or the arrangement with the Bank may have been ultra vires,Independence of Guarantee,,"This clause type emphasizes that the guarantee provided by the guarantor is independent of the principal debtor's obligations and any other issues related to the debtor's authority or legal capacity. Essentially, the clause specifies that the guarantee remains effective and enforceable even if questions arise over the legitimacy or the scope of authority regarding the agreements made by the principal debtor or his representatives. The guarantor's obligations, according to this clause, are not affected by any irregularities or excesses in the principal debtor's conduct or by the debtor's potential lack of power to enter into the agreement."
8 The Guarantors waive in favour of the Bank all or any of the rights of Guarantors against the Bank or the Borrower as may be necessary to give effect to any of the provisions  of this guarantee,Waiver of Rights,,"A Waiver of Rights clause in a bank guarantee contract refers to provisions where the guarantor agrees to relinquish certain legal rights they would normally hold, often against the principal debtor or the beneficiary. This serves to minimize disputes or complications and simplifies the enforcement of the guarantee for the beneficiary, ensuring that the guarantor cannot assert these waived rights to avoid fulfilling their obligations under the guarantee."
9 The Bank may enforce the guarantee contained herein and any other security created by the Borrower in favour of the Bank simultaneously  In the event of the Bank obtaining a decree against both the Borrower and the Guarantors in r espect of any other security provided by it to the Bank and also against the Guarantors the Bank shall not be bound to first take steps for the executionenforcement of decree against the assets of the Borrowers and the Bank shall be entitled to proceed  against the Guarantors for executionenforcement of the decree obtained against the Guarantors as the liability of the,Enforcement Rights,,"The Enforcement Rights clause in a bank guarantee outlines the procedures and rights of the bank when enforcing the guarantee and other securities agreed upon. This typically includes the right to pursue claims against primary borrowers or guarantors without necessarily prioritizing one over the other, detailing the sequence or approach the bank may take to recover owed amounts."
LD 2 109  Guarantors is coextensive with that of the Borrowers and as between the Bank and the Guarantors the Guarantors have agreed to  be the principal borrowers,Nature of Guarantee,This clause defines the relationship and obligations of the guarantor in relation to the primary obligor under the guarantee. It typically clarifies whether the guarantor's liability is primary or secondary and to what extent the guarantor is liable compared to the primary obligor.,"""The liability of the Guarantor under this guarantee shall be as a primary obligor and not merely as a surety, and shall be absolute and unconditional irrespective of any validity, regularity or enforceability of the underlying obligation."""
10 The Guarantors declare that the Guarantors hashave  not received any security from the Borrower for the giving of this guarantee and the Guarantors agree that so long as any moneys remain owing by the Borrower to the  Bank or any liability incurred by the Bank remains outstanding the Guarantors will not take any security in respect of histheir liability hereunder without first obtaining the Banks written consent and the Guarantors agree that in the event of taki ng any such security the amount for which the Guarantors isare liable under this Guarantee shall be increased by the amount by which dividend payable by the Borrower to the Bank on a winding up is thereby diminished The guarantors hereby undertake tha t no commission brokerage fees etc in any form directly or indirectly will be demanded or received by us as consideration for the guarantee from the borrower for extending this guarantee,Security and Subordination,,"This type of clause specifies that the guarantors have not received and will not take any security from the borrower in relation to the guarantee provided. Furthermore, it establishes that any attempt by the guarantors to obtain security in relation to their obligations under the guarantee can only be made with the prior written consent of the bank, and that taking such security can increase the guarantors' liability if it impacts the bank’s potential recovery. Such clauses are designed to subordinate any claims by guarantors to the rights of the bank and maintain the bank’s priority for recovery in scenarios like a borrower's insolvency."
11 The Guarantors further agree that in respect of  liability o f Guarantors  hereunder the Bank shall have a lien on all securities belonging to the Guarantors now or hereafter held by the Bank and all moneys now or hereafter standing to the credit of Guarantors with the Bank on current account or any other acco unt,Security Interest/Lien,,"This clause type establishes that the bank has a certain type of security interest known as a ""lien"" on the assets (securities and monies) of the guarantor, which the bank can claim to satisfy any liabilities incurred by the guarantor under the guarantee. It essentially secures the bank's interest by providing a fallback if the guarantor fails to meet their obligations under the guarantee."
12 As this guarantee shall be applicable to the ultimate balance that may become due to the Bank from the Borrower and until repayment of such balance the Bank shall be entitled to retain realize or otherwise dispose of in such manner as the Bank m ay think fit any securities now or hereafter held by the Bank and without any liability to account to the Guarantors for any portion of such securities or of the proceeds thereof until all the claims of the Bank have been fully satisfied and in the mean time the Guarantors will not take any steps to enforce any right or claim against the Borrower in respect of any moneys paid by the Guarantors to the Bank hereunder  And further that if the Bank should receive payment from the Borrower or any persons  on behalf of the Borrower or from any security held by the Bank or if the Borrower shall become insolvent or go into liquidation or compound with his creditors the Bank shall be at liberty without discharging the Guarantors from liability to make o r assent to any compromises compositions or arrangements or to prove and to rank as creditor in,Security and Set-off Rights,,"This type of clause stipulates how the bank can hold, manage, and dispose of any securities or collateral that are linked to the guarantee and the underlying debt obligations. It typically allows the bank to use these securities to recover any outstanding amounts owed by the borrower before any liabilities are released. It also often restricts the guarantors from pursuing recovery against the borrower for amounts they have paid until the bank’s claims are fully satisfied."
respect of the amount claimable by the Bank or any items thereof and to receive dividends thereupon and all such payments and dividends received shall be trea ted as payments in gross and Guarantors liability shall extend to the ultimate balance after deducting such payments and to the entire exclusion and surrender of all rights of Guarantors as sureties in competition with the Bank any rule of law or equi ty to the contrary notwithstanding,Subrogation Rights Waiver,,"This clause addresses the waiving of subrogation rights by the guarantor. In the context of guarantees, subrogation rights typically allow a guarantor, who has paid on behalf of the debtor, to ""step into the shoes"" of the creditor to claim any recovery from the debtor. By waiving these rights, the guarantor agrees not to seek reimbursement from the debtor even after fulfilling the obligations of guaranteed payments, thus favoring the lender’s position over their own."
13 The Bank shall have the right of set offnet off on the deposits of any kind and nature including fixed deposits heldbalances lying in any accounts of the Guarantors and on any monies securities bonds and a ll other assets documents deeds and properties held byunder the control of the Bank  their trustees or agents whether by way of security or otherwise pursuant to any contract enteredto be entered into by the Guarantor in any capacity to the extent o f all outstanding dues whatsoever arising as a result of any of the Bank services extended to andor used by the Borrower andor as a result of any other facilities that may be granted by the Bank to the Borrower The Guarantor also notes the bankers l ien available to the Bank on the aforesaid assets,Right of Set-Off,,"The Right of Set-Off clause in a bank guarantee or financial agreement stipulates that the bank has the authority to seize or deduct funds from the guarantor's or borrower's accounts with the bank to cover any unpaid debts or outstanding dues owed to the bank by the guarantor or borrower. This typically applies to various types of accounts and assets held at the bank, and it works as a security measure to ensure the bank can recover debts without having to pursue further legal action."
LD 2 109  14 This guarantee shall be irrevocable and enforceable agains the Guarantors notwithstanding any dispute between the Bank and the Borrower 15 This guarantee shall not affect or be affected by any othe r or further securities taken or held by the Bank or by any loss of any primary collateral or other security nor by the Bank failing to recover by the realization of securities or otherwise any such sum or sums due from the Borrower or any other persons  or any laches on the part of the Bank nor the Bank shall be responsible to the Guarantors for any such loss or laches,Irrevocability and Independence,,"This clause type asserts that the guarantee provided is irrevocable, meaning it cannot be withdrawn, cancelled, or altered by the guarantor once issued, regardless of any changes or disputes between the principal parties (like the bank and the borrower). The independence aspect emphasizes that the validity and enforcement of the guarantee are independent of any other securities, obligations, or occurrences that may influence the financial relationship between the original parties. It ensures the guarantee stands on its own, unaffected by external factors."
16 The liability of the Guarantors under this Guarantee shall not be effected by  a Any change in the constitution or winding u p of the Borrower or any absorption merger or amalgamation of the Borrower with any other Company Corporation or Concern or b Any change in the management of the Borrower or take over of the management of the Borrower by Central or State Government or by any other authority or c Acquisition or nationalization of the Borrower andor of any of its undertakings pursuant to any Law or d Any change in the constitution of the Bank or e Any change in the set up of the Guarantors which may be way of c hange in the constitution winding up voluntary or otherwise absorption merger or amalgamation or otherwise,Independence of Obligations,,"The Independence of Obligations clause in a bank guarantee ensures that the guarantor’s obligation to honor the guarantee is unaffected by any changes related to the parties involved, such as changes in management, structure, ownership, or legal status. This clause emphasizes that the guarantee remains consistent and enforceable despite any internal or external alterations in the associated parties."
f The absence or deficiency of powers on the part of the Guarantors to give guarantees andor indemnities or any irregularity in the exercise  of such powers,Validity and Enforceability,,This clause type addresses the legal capacity and powers of the guarantor to enter into a guarantee agreement and carry out the obligations therein. It ensures that the guarantor has the necessary authority and that the guarantee is executed properly and is legally binding.
