Paragraph,Classification,Explanation
the acts mentioned above as the Bank may think fit  Moreover though as between the Borrower and the Guarantors  the Guarantors are sureties only the Guarantors agree that as between the Bank and the Guarantors the Guarantors isare Principal Debtors jointly with the Borrower and accordingly the,Onerous,"This clause treats guarantors as principal debtors, increasing their liability by equating their responsibility with the borrower, which substantially heightens their risk and commitment."
LD 2 109  Guarantors shall not be entitled to any of the rights conferred on sureties by Sections 133 134 135 139 and 141 of the Indian Contract Act  And the Guarantors further expressly agree that the Bank shall also have discre tionary power without further assent or knowledge of Guarantors or without discharging or in any way affecting the liability of Guarantors under the Guarantee from time to time and at any time to agree to the variations of the terms and conditions of a ll or any of the terms and conditions of credit facilities grantedto be granted to the Borrower   The Guarantors hereby agree and give consent to the sale mortgage on prior pari passu or second charge basis release etc of any of the assets by the Borrower from time to time as may be approved by the Bank or the transfer of any of the assets of the Borrower from one unit to other or to the release or lease out by the Bank any or whole of the assets charged to the Bank on,Onerous,"The clause deprives guarantors of standard legal protections and allows the bank unilateral discretion in modifying terms or handling of secured assets, significantly enhancing guarantor risk without their consent or notification."
such terms and conditions as t he Lenders may deem fit and this may be treated as standing and continuing consent for each and every individual act of transfer mortgage release or lease of any of such assets by the Borrower,Onerous,"This clause grants broad unilateral discretion to lenders on terms and ongoing consent for asset actions, substantially favoring the lender and potentially placing burdensome obligations on the borrower."
The Guarantors hereby declares and agrees that no separat e consent for each such transfer mortgage release or lease of any of such assets would become necessary in future,Onerous,"This clause limits the guarantor's control over asset transactions, implicitly waiving prior consent rights, potentially exposing them to increased liability without further approval for each transaction."
6 The Guarantors also agree that any admission or acknowledgement in writing by the Borrower of the amount of indebtedness of the Borrow er or otherwise in relation of the subject matter of this guarantee shall be binding on the guarantors and the guarantors accept the correctness of any statement of account served on the Borrower by the Bank and the same shall be binding and conclusiv e as against the guarantors also and the guarantors agree that in making an acknowledgement or making a payment the Borrower shall be treated as duly authorized agent of Guarantors for the purposes of Section 18 and 19 of Indian Limitation Act 1963,Onerous,"The clause binds guarantors to the borrower’s acknowledgments of debts and correctness of the bank’s statements, removing their right to dispute claims later and extending liability, which can be particularly disadvantageous."
7 The Bank may recover against the guarantors to the extent herein before mentioned notwithstanding that the Borrower or his agents partners directors or officers may have exceeded his or their powers or that the arrangements with the Bank may have b een ultra vires and without being bound to enforce its claim against the Borrower or any other persons or other security held by the Bank  The Bank shall not be bound to enquire into the powers of the Borrower or his agents or partners directors or off icers purporting to act on behalf of the Borrower and all moneys due or liabilities incurred shall be deemed to form part of the present guarantee notwithstanding that the Borrower or his agents partners directors and officers may have exceeded hisher o r their powers or the arrangement with the Bank may have been ultra vires,Onerous,"This clause allows the Bank to recover from guarantors regardless of any unauthorized or illegal actions by the Borrower, without first pursuing the Borrower or other collateral."
8 The Guarantors waive in favour of the Bank all or any of the rights of Guarantors against the Bank or the Borrower as may be necessary to give effect to any of the provisions  of this guarantee,Onerous,"The clause deprives guarantors of potential defenses or claims against the bank or borrower, reducing their legal recourse and protecting the bank's interests disproportionately."
9 The Bank may enforce the guarantee contained herein and any other security created by the Borrower in favour of the Bank simultaneously  In the event of the Bank obtaining a decree against both the Borrower and the Guarantors in r espect of any other security provided by it to the Bank and also against the Guarantors the Bank shall not be bound to first take steps for the executionenforcement of decree against the assets of the Borrowers and the Bank shall be entitled to proceed  against the Guarantors for executionenforcement of the decree obtained against the Guarantors as the liability of the,Onerous,"Allows the bank to bypass borrower assets and directly target guarantors, increasing financial risk and liability exposure for guarantors without typical recourse to borrower's assets first."
LD 2 109  Guarantors is coextensive with that of the Borrowers and as between the Bank and the Guarantors the Guarantors have agreed to  be the principal borrowers,Onerous,"This clause dictates that guarantors have equal liability as the principal borrowers, intensifying their responsibility and financial risk, significantly heightening their obligations towards the bank."
10 The Guarantors declare that the Guarantors hashave  not received any security from the Borrower for the giving of this guarantee and the Guarantors agree that so long as any moneys remain owing by the Borrower to the  Bank or any liability incurred by the Bank remains outstanding the Guarantors will not take any security in respect of histheir liability hereunder without first obtaining the Banks written consent and the Guarantors agree that in the event of taki ng any such security the amount for which the Guarantors isare liable under this Guarantee shall be increased by the amount by which dividend payable by the Borrower to the Bank on a winding up is thereby diminished The guarantors hereby undertake tha t no commission brokerage fees etc in any form directly or indirectly will be demanded or received by us as consideration for the guarantee from the borrower for extending this guarantee,Onerous,"The clause restricts guarantors from taking security without bank consent and increases liability if such security reduces the bank's recovery, heavily favoring the bank's interests over the guarantors."
11 The Guarantors further agree that in respect of  liability o f Guarantors  hereunder the Bank shall have a lien on all securities belonging to the Guarantors now or hereafter held by the Bank and all moneys now or hereafter standing to the credit of Guarantors with the Bank on current account or any other acco unt,Onerous,"The clause allows the bank extensive rights over the guarantor's assets and finances, thus imposing heavy obligations and liabilities on the guarantors without specific limits."
12 As this guarantee shall be applicable to the ultimate balance that may become due to the Bank from the Borrower and until repayment of such balance the Bank shall be entitled to retain realize or otherwise dispose of in such manner as the Bank m ay think fit any securities now or hereafter held by the Bank and without any liability to account to the Guarantors for any portion of such securities or of the proceeds thereof until all the claims of the Bank have been fully satisfied and in the mean time the Guarantors will not take any steps to enforce any right or claim against the Borrower in respect of any moneys paid by the Guarantors to the Bank hereunder  And further that if the Bank should receive payment from the Borrower or any persons  on behalf of the Borrower or from any security held by the Bank or if the Borrower shall become insolvent or go into liquidation or compound with his creditors the Bank shall be at liberty without discharging the Guarantors from liability to make o r assent to any compromises compositions or arrangements or to prove and to rank as creditor in,Onerous,"The clause heavily favors the bank's rights over securities without needing to account for their use to guarantors and restricts guarantors’ claims, increasing their risk and liability."
respect of the amount claimable by the Bank or any items thereof and to receive dividends thereupon and all such payments and dividends received shall be trea ted as payments in gross and Guarantors liability shall extend to the ultimate balance after deducting such payments and to the entire exclusion and surrender of all rights of Guarantors as sureties in competition with the Bank any rule of law or equi ty to the contrary notwithstanding,Onerous,"Guarantors relinquish rights to compete with the bank for claims/recoveries, extending liability to the full remaining balance regardless of any prior payments or dividends."
13 The Bank shall have the right of set offnet off on the deposits of any kind and nature including fixed deposits heldbalances lying in any accounts of the Guarantors and on any monies securities bonds and a ll other assets documents deeds and properties held byunder the control of the Bank  their trustees or agents whether by way of security or otherwise pursuant to any contract enteredto be entered into by the Guarantor in any capacity to the extent o f all outstanding dues whatsoever arising as a result of any of the Bank services extended to andor used by the Borrower andor as a result of any other facilities that may be granted by the Bank to the Borrower The Guarantor also notes the bankers l ien available to the Bank on the aforesaid assets,Onerous,"Expands the bank's rights extensively, allowing them to set off any of the guarantor's assets or deposits against debts, significantly increasing the guarantor's exposure and liability."
LD 2 109  14 This guarantee shall be irrevocable and enforceable agains the Guarantors notwithstanding any dispute between the Bank and the Borrower 15 This guarantee shall not affect or be affected by any othe r or further securities taken or held by the Bank or by any loss of any primary collateral or other security nor by the Bank failing to recover by the realization of securities or otherwise any such sum or sums due from the Borrower or any other persons  or any laches on the part of the Bank nor the Bank shall be responsible to the Guarantors for any such loss or laches,Onerous,"The clause removes limitations on the bank's accountability and obligates the guarantor irrespective of the bank's actions or omissions, increasing risk and liability for the guarantor."
16 The liability of the Guarantors under this Guarantee shall not be effected by  a Any change in the constitution or winding u p of the Borrower or any absorption merger or amalgamation of the Borrower with any other Company Corporation or Concern or b Any change in the management of the Borrower or take over of the management of the Borrower by Central or State Government or by any other authority or c Acquisition or nationalization of the Borrower andor of any of its undertakings pursuant to any Law or d Any change in the constitution of the Bank or e Any change in the set up of the Guarantors which may be way of c hange in the constitution winding up voluntary or otherwise absorption merger or amalgamation or otherwise,Neutral,"The clause merely specifies that the guarantor's liability remains unaffected by structural changes in the borrower or guarantor's organization, maintaining the guarantee's enforceability despite external alterations."
f The absence or deficiency of powers on the part of the Guarantors to give guarantees andor indemnities or any irregularity in the exercise  of such powers,Onerous,"This clause potentially increases the guarantor's liability by invalidating defenses related to their power to issue guarantees, thus intensifying their responsibility irrespective of internal irregularities or limitations."
17 Should the Borrower be a limited company corporate or unincorporated body committee firm partnership trustees or debtors on a joint account the provisions hereinbefore contained shall be construed and take effect where necessary as if words importing the singular number included also the plural number  This guarantee shall remain effective notwithstanding any death retirement change accession or addition as fully as if the person or persons constituting or trading or acting as such body committee firm partnership trustees or debtor on joint account at the date of the Borrowers default or at any time previously was or were the same as the date hereof,Neutral,"This clause ensures the guarantee's applicability to various forms and changes of the borrower's legal structure, without introducing additional burdens or unusual risks to the guarantor."
18 In the event of there being more than one guarantor the liability o f the remaining guarantors shall not be affected or released or given up by time or other indulgence to one or more of the guarantors nor by the death of any one or more the guarantors until notice shall have been given to the Bank as provided in Clause 1 hereof,Onerous,"The clause holds each guarantor fully liable despite any indulgence granted to others or the death of any guarantor, maintaining obligations unless specific notice is given."
19 The Bank shall be entitled to fix with the Borrower a period for credit facilities and to alter or extend such a period from time to time  The Bank shall be entitled from time to time to periodically renew the credit facilities without the consent and knowledge of the guarantors and take renewals of loan and security documents wherever necessary from the Borrower alone  The Bank shall be entitled to take single document for the whole amount hereby guaranteed or to split up the amount an d take separate documents for each part and take any such documents from the Borrower alone or from the Borrower and other persons whose identity may vary from time to time  The liability of Guarantors shall not be discharged or affected in any way by  reason of any such or similar acts or dealings,Onerous,"The clause allows the bank to modify credit terms and renew loans without guarantor consent, potentially increasing risk and liability for guarantors without their knowledge."
20 Any demand for payment or notice under this Guarantee shall be sufficiently given if sent by post to or left at the last known address of the Guarantors or their heirs representatives,Neutral,"This clause standardizes communication methods, ensuring demands or notices are deemed delivered when mailed to last known addresses. It doesn't impose undue or unfair obligations on the Guarantor."
LD 2 109  successors or a ssigns as the case may be such demand or notice is to be made or given and shall be assumed to have reached the addressee in the course of post if given by post and no period of limitation shall commence to run in favour of the Guarantors until afte r demand for payment in writing shall have been made or given as aforesaid and in proving such notice when sent by post it shall be sufficiently proved that the envelope containing the notice was posted and a certificate by any of the responsible officers of the Bank that to the best of  his knowledge and belief the envelope containing the said notice was so posted shall be conclusive as against the Guarantors even though it was returned unserved on account of refusal of the Guarantorss or otherwise ,Onerous,Guarantors are disadvantaged by accepting delayed commencement of limitations and cannot dispute the mere posting of demand as proof of notice.
21 Notwithstanding anything herein before contained this guarantee shall extended to all accounts of the borrower whether the same are his solely or are account on which he is or may become liable jointly any manner whatsoever with any company or pers on or persons and in whatever name of firm the same may stand and this guarantee shall not be affected by any change in the constitution of the bank its successors or assigns or by its absorption of or by its amalgamation with any other bank or banks,Onerous,"This clause exposes the guarantor to liability in diverse joint or individual contexts, without limitation based on changes to the bank’s structure or mergers, significantly increasing potential liability."
22 The Guarantors agrees as a pre condition of the credit facility granted by the Bank to the Borrower that in case any default is committed in the repayment of the loanadvance or in repayment of interest thereon or any of the agreed instalment of th e loan on due dates the Bank andor the Reserve Bank of India will have an unqualified right to disclose or publish the name of the Guarantors or the names of hishertheir companyfirmunit and its directorspartnersproprietors as defaulter in such ma nner and through such medium as the bank or the Reserve Bank of India in their absolute discretion may think fit,Onerous,"The clause gives the bank extensive discretionary power to publicize the guarantor's default, potentially damaging reputation significantly, without restrictions on disclosure method or forum."
23 a The Guarantors understand that as a precondition to the grant of the loans advancesother non funded credit facilities to the borrower and furnishing of guarantee in relation thereto The South Indian Bank Ltd requires consent of the guarantors of the credit facility grantedto be granted by the Bank for disclosure of information and data relating to the guarantors any c redit facility availed of by the guarantors obligations assumed by the guarantors in relation thereto and default if any committed in discharge thereof,Onerous,"Requires guarantors to consent to sharing potentially sensitive information; can increase liability and reduce privacy, impacting guarantors significantly beyond standard expectations."
b Accordingly the Guarantors hereby agree and give consent for the disclosure by The South Indian Bank Ltd of all or any such,Neutral,"This clause simply permits disclosure of information by the bank, typically standard for transparency and compliance purposes, imposing no excessive burden on the guarantor."
ii the information and data relating to guarantorss obligations in any credit facility grantedto be granted by the Bank and guaranteed by the guarantors  and iii default if any committed by the guarantors in discharge of hishertheir obligationsas The South Indian Bank Ltd may deem appropriate and necessary to disclose and furnish to Credit Information Bureau India Ltd and any other agency au thorized in this behalf by RBI,Neutral,"The clause permits sharing of guarantors’ credit information with authorized agencies, a standard practice for transparency and risk assessment, not excessively burdensome to the guarantor."
c The Guarantors declare that the information and data furnished by himherthem to the South Indian Bank Ltd are true and correct,Neutral,"This clause requires truthfulness in the information provided by the guarantors, which is a standard expectation in contractual agreements, posing no undue burden."
d The Guarantors undertake that i the Credit Information Bureau India Ltd an d any other agency so authorized may use process the said information and data disclosed by the Bank in the manner as deemed fit by them  and ii the Credit Information Bureau India Ltd and any other agency so authorized may furnish for consideratio n the processed information and data or products thereof prepared by them,Onerous,"Grants agencies broad discretion to process and sell personal data without defined limits or guarantees of privacy, placing significant obligations on the guarantor."
LD 2 109  to BankFinancial Institutions and other credit grantors or registered users as may be specified by Reserve Bank India in this behalf,Neutral,"This clause mainly pertains to the disclosure of information to specified entities, as required by the Reserve Bank of India, and does not impose burdensome financial or performance obligations on the principal."
IN WITNESS WHEREOF the Guarantors have set hishertheir hands hereunto on the day and year mentioned in Schedule I a hereunder    Guarantor 1  Guarantor 2  Guarantor 3 Signature  Name,Neutral,"This clause is a standard signing provision that formalizes the agreement by having guarantors sign, indicating consent and understanding. It does not impose heavy or unfair terms."
LD 2 109  SCHEDULE  I a Date and Place of Agreement  of Guarantee  b Details of the  Guarantors Sl No  Name of Guarantor  Address of the Guarantor  Constitution 1,Neutral,This clause simply outlines the basic framework for recording information about guarantors; it imposes no burdensome obligations or liabilities.
c Name of the Branch Address of the Branch  d   Name of the Borrowers Constitution of the Borrowers  Names of the signatories authorised signatoryies Address of the Borrower s     SCHEDULE  II a Total,Neutral,"This clause simply specifies identifying information for the involved parties and addresses, which is standard and does not impose burdensome obligations or risks."
Rupees  only b Date of Execution of documents by Borrower s  SCHEDULE  III Amount of Guarantee  Rs,Neutral,"The clause provides basic information about the guarantee amount and lacks any demanding or unfair terms that would disadvantage one party, making it neutral in nature."
FORMAT FOR PERFORMANCE BANK GUARANTEE   From  Bank   To Yantra India Limited Ordnance Factory Dum Dum Jessore RoadKolkata  700028West Bengal India  Bank Guarantee NoDated  Bank Guarantee Amount,Neutral,This clause merely specifies the format and details required for a performance bank guarantee. It imposes no burdensome conditions or obligations on the involved parties.
Dear Sir  1 Whereas you the PURCHASER have entered into a contract No dated,Neutral,This clause merely identifies the contract in question without imposing any demanding or burdensome conditions on the parties involved.
hereinafter referred to as the SELLER for supply of goods as defi ned in the said Contract and whereas the SELLER has undertaken to produce a bank guarantee for  3 of total contract value amounting to  amount of the guarantee in figures and words to secure its obligations to the PURCHASER in acc ordance with the said Contract,Neutral,"The clause requires a standard guarantee of 3% of the contract value to secure the seller’s obligations, common in business contracts to ensure performance."
2 We  the Bank hereby expressly irrevocably and unreservedly undertake and guarantee as principal guarantor on behalf of the SELLER that we will pay you on your demand declaring the SELLER to be in defa ult under the said Contract without demur or contest all and any sum up to a maximum of Rupees  only Your written demand shall be conclusive evidence to us that such repayment is due under the terms of the said Contract,Onerous,"The clause imposes strict liability on the bank to pay upon a simple written demand without requiring proof of default, placing a significant burden on the bank."
3 We undertake to  effect payment upon receipt of such written demand notwithstanding any dispute or disputes raised by the SELLER in any suit pending before any Court Tribunal Arbitrator or any other authority our liability under this present being absolute and unequiv ocal,Onerous,"The clause obligates the bank to pay regardless of any disputes or legal proceedings, placing substantial risk on the bank by making its liability absolute and unequivocal, irrespective of underlying transaction issues."
4 We shall not be discharged or released from this undertaking and guarantee by any arrangements or variations made between you and the SELLER indulgence to the SELLER by you or by any alterations in the obligation of the SELLER or by any forbear ance whether as to payment time performance or otherwise,Onerous,"The clause binds the guarantor despite any amendments or leniency between the beneficiary and seller, limiting the guarantor's flexibility and increasing their liability."
Page 2   5 In no case shall the amount of this guarantee be increased,Neutral,"The clause restricts increasing the guarantee amount, stabilizing financial obligations and risks for the guarantor; it doesn't impose unfair conditions."
6 This guarantee shall remain in full force and effect until three months beyond the warranty period as specified in the contract ie up to  expiry date or until the PURCHASER has signed the Final Acceptance Certificate FAC and has received the contractually agreed Warranty Bond as per the said Contract  In case of delay in fulfillmen t of obligations by the SELLER the expiry date shall be extended by us as per intimation from the SELLER,Onerous,"The clause extends liability beyond the warranty period and allows indefinite extensions based on the seller's delays, increasing the guarantor's risk and obligations unpredictably."
7 Unless a demand or claim under this guarantee is made to us in writing on or before the aforesaid expiry date or extended expiry date all your rights under this guarantee shall be forfeited and we shall be discharged from the liabilities hereunder,Onerous,"This clause imposes strict conditions on the timing of claims, leading to forfeiture of rights and discharge of liabilities if not met, potentially disadvantaging the beneficiary."
8 This guarantee shall be continuing guarantee and shall not be discharged by any change in the constitution of the Bank or in the constitution of the SELLER,Neutral,"This clause simply ensures continuity of the guarantee despite organizational changes, imposing no additional burdens or risks on the guarantor beyond standard expectations."
9 We lastly undertake not to revoke this guarantee during its currency except with the previous consent of the PURCHASER in writing,Neutral,"The clause reasonably protects the purchaser by preventing unilateral revocation of the guarantee, ensuring financial security and contractual stability without imposing excessive burdens on the issuer."
BANK GUARANTEE format for EMDBid Guarantee To be issued with Structured Financial Messaging System Note i This guarantee should be furnished by a Nationalized Bank Scheduled Bank authorized by RBI to issue a Bank Guarantee excepting Bank of China in the same format as given below NUPPL reserves its rights to reject the Bank Guarantee if the same is not in the specified format,Neutral,"This clause imposes standard conditions on the format and issuer of the Bank Guarantee, which is common in contract tenders."
ii Unless otherwise expressly stated the bid guarantee shall be extended only on behalf of the bidder on whose name the tender documents were purchased,Neutral,"This clause simply specifies that the extension of the bid guarantee is exclusive to the named bidder, preventing misuse or confusion about the legitimate beneficiary, without imposing additional burdens."
iii The bid and other documents shall be submitted only by the bidder on whose of the name the tender documents purchased,Neutral,"This clause merely ensures that only the entity that purchased the tender documents can submit a bid, promoting fairness and preventing misuse of documents."
iv  The bid guarantee shall be executed only as per the format prescribed by NUPPL In the event of any deviation the decision of NUPPL as to whether the same could be accepted or not is final and binding on the bidder,Onerous,"This clause restricts flexibility for the bidder by mandating NUPPL’s format and grants NUPPL final decision-making authority on acceptability, limiting the bidder’s negotiation capacity or recourse."
v The bank guarantee should be furnished on stamp paper of value not less than Rs 80,Neutral,The clause mandates a minimal legal requirement for stamp duty that aligns with regulatory compliance and does not impose excessive burdens or unusual risk on any party involved.
vi The stamp paper should have been purchased in the Name of the Bank executing the GuaranteeBidder ,Neutral,"This clause simply specifies a procedural requirement for the purchase of stamp paper, ensuring legality and authenticity; it does not impose unfair terms on any party involved."
vii NUPPL reserves its right to reject the offer of the bidder if any of the above conditions are not adhered to while furnishing the bids,Neutral,"The clause allows NUPPL to reject bids for non-compliance, which is a standard expectation in bidding processes to ensure adherence to stipulated conditions."
BG Format  REF         DATE BANK GUARANTEE NO  TO THE NEYVELI UTTAR PRADESH POWER LTD Ghatampur Thermal Power Project Site Office Near Lahurimau  Kasimpur Village Ghatampur Tehsil PO Samuhi  208 001 Kanpur Nagar Dist Uttar Pradesh,Neutral,This clause merely specifies the formatting and addressing details of the bank guarantee with no inherent obligations or burdens.
Dear Sirs  In accordance with your Invitation to Bid under your Tender No,Neutral,"This clause is standard introductory language in a bank guarantee document, setting context without imposing burdensome obligations or altering liabilities."
 herein after called the Bidder with the following Directors on their Board of Directorspartners of the firm 1        2,Neutral,"This clause simply identifies the bidder and their directors or partners, which is standard in identifying parties in a contract. It does not impose burdensome conditions."
Wish to participate in the said bid for furnishing the following  As an irrevocable Bank Guarantee against Bid Guarantee for a sum of  in words and figures valid for 120 Days from   the date of bid opening is required to be submitted by the Bidder as a condition precedent for participation in the said bid which,Onerous,"This clause stipulates an irrevocable guarantee as a mandatory condition for bid participation, imposing a strict liability on the bidder which restricts flexibility and increases financial commitment."
amount is liable to be forfeited on the happening of any of the contingencies mentioned in the bid documents we the bank at having our Head office at ,Onerous,"The clause indicates forfeiture of the guarantee amount upon certain contingencies, placing significant risk and financial liability on the guarantor, making it demanding and unfavorable."
local address guarantee and undertake to pay immediately on demand by Neyveli Uttar Pradesh Power Limited stating that the bid is revoked during its validity period or the prices are increased unilaterally after the bid opening and during validity of the offer or the bidder have failed or refused to sign the Contract in conformity with their final offer or have failed or refused to furnish Contract performance guarantee in the prescribed form the amount of to the said Neyveli Uttar Pradesh Power Limited without any reservation protest demur and recourse Any such demand by the Neyveli Uttar Pradesh Power Limited shall be conclusive and binding on the bank irrespective of any dispute or difference raised by the bidder,Onerous,"The clause compels the bank to pay ""immediately on demand"" without the right to question the validity of the claim, ignoring any disputes from the bidder."
This guarantee shall be irrevocable and shall remain valid Upto  If any further extension to this guarantee is required the same shall be extended to such required periods on receiving instruction from Ms   on whose behalf this guarantee is issued,Neutral,"The clause merely outlines standard protocol for extending the guarantee duration upon appropriate instructions, imposing no excessive burdens on any party involved."
This Guarantee is subjected to rules of URDG ICC Publication No 758 Except ARTICLE 34  ARTICLE 35 for that purpose this Guarantee is governed by Indian Laws  having Jurisdiction of Indian Courts,Neutral,"The clause specifies applicable rules (URDG 758) and legal jurisdiction, standard for contractual clarity without imposing unfair terms on either party. Exclusion of articles does not inherently disadvantage any party without further context."
Notwithstanding anything contained herein Our liability under this bank guarantee shall not exceed  in words This bank guarantee shall be valid Upto   and We are liable to pay the guaranteed amount or any part thereof under this bank guarantee only and only if you serve upon us a written claim or demand on or before   Return of this document to us by any person before the aforesaid date will however extinguish our liability as on the date of return,Neutral,"The clause sets a finite limit on liability and specifies conditions for claims, which standardly protects the guarantor’s interests without imposing unreasonable burdens on either party."
In witness whereof the Bank through its authorised Officer has set its hand and stamp on this day of 200     at,Neutral,"This clause is procedural, only confirming that an authorized officer executed the document on a specific date, carrying no burdensome obligations or risks."
Witnesses  1 Signature  2 Signature Name in Block Letters  Name in Block Letters  Occupation and Address Occupation and Address  BG Format Ends here,Neutral,"This clause merely specifies signing requirements and provides clear identification details for witnesses, imposing no unfair terms or excessive obligations on any party involved."
Note  The amount shall be as specified in the documents  This date should be 120 Days after the original set date of Tender Opening,Neutral,"The clause simply specifies a timeline extension for the tender process, standardising expectations without imposing burdensome conditions on any party involved."
Following details should be furnished along with BG Details of issuing bank of this guarantee  1 Complete Postal address with PIN Code 2 Branch Code 3 IFSC Code 4  SWIFT 5 FAX No,Neutral,"This clause requires standard information for proper identification and communication with the issuing bank, facilitating transparency and practical execution of the guarantee."
6  Email ID Details of operative branch of this guarantee 1 Complete Postal address with PIN Code 2 Branch Code 3 IFSC Code 4  SWIFT 5 FAX No,Neutral,"This clause merely requires the provision of contact and identification details of the bank branch, which does not impose burdensome obligations on the guarantee parties."
Draft BANK GUARANTEE FORMATE This  deed of guarantee is executed by the Name of bank  a body Corporate Registered Constituted under the law of    having  the Central office at    and amongst other places a Branch at  herein after referred to as  the Bank  in favour of Administration of Daman  DiuUT Office to The Executive Engineer Electricity Department  Vidyut Bhavan Near 6611 KV Kachigam Sub Station Somnath  Kachigam Road Kachigam Daman 396 210  here inafter called  the Government  for an amount not exceeding    Amount  in words  at the request of   name of the company This guarantee is issued subject to the condition that the liability of the Bank  under this guara ntee is limited to a Maximum o f amount   in words  and the guarantee shall remain in full force up to  Date and cannot be invoked otherwise than by a written demand or claim under this guarantee served on the bank on or before the  date 1 In consideration of Administration o f Daman  Diu UT Office of The Executive Engineer  Electricity Department  Vidhyut Bhavan  Near 6611 KV Kachigam sub station Somnath  Kachigam Road Kachigam Daman,Neutral,"The clause limits the bank's liability to a specified amount and defines a clear expiration, which are standard terms in bank guarantees."
396 210  hereinafter called the Government  having agreed to exempt   name of Company having its  Registered Office at  Address  hereinafter called the said Consumers  from the  demand under the terms and conditions of an agreement No Service Connection NoConsumer ID  if allotted  for Plot No  Factory Address  made between The Executive Engineer Electricity Department D aman  Diu UT and  Name of Company   for supply of Power Contract Demand  hereinafter  called  the Said agreement  of Security Deposit  for the due fulfillment  by the said consumers  of the terms and conditions contained in the agreement on production  of a Bank Guarantee for  amount  We  name address  of bank hereinafter referred to as  the Bank  at the request of  name of company  do hereby undertake to pay to the Government  an amount not exceeding  amount  against any loss or damage caused to or suffered or would be caused to or suffered by the Government by reason of any breach by the said consumes of any of the terms and conditions contained in the said Agreement,Onerous,"The clause imposes potential liability on the bank to cover losses from any breach by the company, potentially involving significant financial risk and obligations."
2 We name of Bank  do hereby undertake to pay the amount due and payable under this guarantee without any demur merely on a demand from the Government stating that the amount claimed is due by way of loss or damage caused to or would be caused to or suffer ed by the Government  by reason of breach by the said consumerS of any of the terms and conditions contained in the Said Agreement or by reason of the consumers failure to perform the said Agreement Any such demand made on the Bank shall be conclusive  as regards the amount due and payable by the Bank under this guarantee shall be restricted to amount not exceeding  Amount 3 We undertake to pay to the Government any money so demanded notwithstanding any dispute or disputes raised by the consumer  in any suit or proceeding pending  before any court of tribunal relating thereto our liability under this present  being absolute and unequivocal The payment so made by us under  this Bond shall be a valid discharge of our liability for payment there under and consumerssuppliers shall  have not claim against us for making such payment,Onerous,"The clause compels the bank to pay without demur and treats any government demand as conclusive, removing any rights of the bank to dispute the claim or the sum demanded."
4 We   further agree that the guarantee contained shall remain in full force and effect during the period that would be taken for the performance of the said Agreement and that it shall continue to be enforceable till all the dues of the Government under or by vi rtue of the said Agreement have been fully paid and its claims satisfied  or  discharged or till The Executive Engineer Electricity Department Daman  Diu  UT   certified that the terms and conditions of the said agreement have been fully and properl y carried out by the said consumers and accordingly discharges this guarantee Unless a demand of claim under this  guarantee is made on us in writing on or before the  Date  we shall be discharged  from all liability under this guarantee thereafter,Onerous,"This clause extends the guarantee's enforceability beyond typical contract performance, until government dues are cleared or specific discharge by authorities, increasing the guarantor’s obligations and risk."
5 we  further agree with the Government that the Government shall have the fullest liberty without our consent and without effecting in any manner our obligations hereunder to vary any of the terms and conditions of said Agreement or to extend  time  of p erformance by the said consumers  from time to or to postpone for any time of from time to time any of the power exercisable by the Government against the said consumers and to forbear of enforce any of the terms and conditions relating to the said,Onerous,"This clause deprives the guarantor of any influence over changes in terms, extending obligations indefinitely without consent, increasing potential liability."
agreement and we shall not be relieved form our liability by reason of any such variation or extension being granted to  the said consumers or for any forbearance act or omission on the part of the Government of any indulgence by the Government to the said  consumers or by and such  matter of thing whatsoever which under the law relating to sureties would but for this provision have effect of so relieving us,Onerous,"The clause prevents the guarantor from being relieved of obligations despite any changes or leniency shown by the government to the consumer, which intensifies the guarantor's liability."
6 This guarantee will not be discharged due to the change in the constitution of the Bank of th e consumers,Neutral,"The clause simply ensures the guarantee remains valid despite any changes in bank structure, posing no additional risk or burden to either party involved."
7 we  lastly undertake not to revoke this guarantee during the currency except with the previous  consent of the  Government in writing,Neutral,"The clause merely requires the bank to maintain the guarantee unless the government consents to its revocation, which is a standard condition in such agreements."
8 This guarantee shall be valid  up to  date  unless extended on demand by Government,Onerous,"This clause permits the government unilateral authority to extend the guarantee’s validity, potentially imposing unforeseen obligations and financial burden on the guarantor without prior consent or limitation."
Notwithstand ing anything mentioned above our liab ility against this guarantee is restricted to Amount any unless a claim in writing is lodged with us on or before the date of expiry ie Date  or the extended date of expiry of this guarantee all our liabilities un der this guarantee shall stand discharged,Onerous,"This clause restricts liability strictly to claims made by a specific expiry date, limiting the beneficiary's opportunity to claim, thus favoring the guarantor."
Notwithstanding anything contained herein i      Our liability under this Bank Guarantee shall not exceed  Amount ii     This Bank Guarantee shall be valid up to date  and iii   We are liable to pay th e guarantee amount or any part thereof under this Bank Guarantee only and if you serve upon us a written claim or demand n or before  Date  date of expiry of the guarantee at Name Of bank Address,Neutral,"The clause limits the bank’s liability to a fixed amount and requires a formal claim before a set date, typical in bank guarantees to manage and delineate risk clearly."
